year_team,po_year,team_full,mean_age,mean_height,mean_weight,PtsSeason,OppPtsSeason,PtsDiff,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,playoffs
2001_Golden State Warriors,2001,Golden State Warriors,27.45,200.279,100.4025892,92.5,101.5,-9.0,45.5,21.8,9.1,5.0,15.3,21.1,29.1,16.4,False
2001_Houston Rockets,2001,Houston Rockets,27.142857142857142,202.11142857142858,102.05820000000001,97.2,94.9,2.299999999999997,42.0,19.7,7.2,4.4,13.9,20.2,30.8,11.2,False
2001_Indiana Pacers,2001,Indiana Pacers,27.666666666666668,204.38533333333334,104.11448373333334,92.6,92.8,-0.20000000000000284,42.7,21.5,6.8,5.9,14.2,23.5,31.5,11.3,True
2001_Los Angeles Clippers,2001,Los Angeles Clippers,25.214285714285715,201.20428571428573,101.31301314285714,92.5,95.3,-2.799999999999997,42.9,19.3,6.0,6.3,14.8,21.6,31.2,11.7,False
2001_Los Angeles Lakers,2001,Los Angeles Lakers,28.466666666666665,200.82933333333332,102.66298933333334,100.6,97.2,3.3999999999999915,45.3,23.0,7.3,5.9,13.8,22.8,31.9,13.4,True
2001_Miami Heat,2001,Miami Heat,29.8125,200.66,100.527327,88.9,86.6,2.3000000000000114,39.4,19.8,7.6,3.8,13.3,21.2,29.6,9.8,True
2001_Milwaukee Bucks,2001,Milwaukee Bucks,27.666666666666668,200.32133333333334,99.6088032,100.7,96.9,3.799999999999997,42.8,22.4,7.8,5.1,13.0,23.6,30.8,12.1,True
2001_Minnesota Timberwolves,2001,Minnesota Timberwolves,28.6,198.96666666666667,98.79233760000001,97.3,96.0,1.2999999999999972,42.3,25.1,8.3,5.6,13.4,23.2,30.2,12.2,True
2001_New Jersey Nets,2001,New Jersey Nets,27.38888888888889,201.36555555555555,99.48784533333334,92.1,97.1,-5.0,39.6,19.5,7.9,5.0,13.9,24.2,28.5,11.1,False
2001_New York Knicks,2001,New York Knicks,29.785714285714285,202.29285714285714,100.11423428571428,88.7,86.1,2.6000000000000085,40.0,18.4,6.6,4.2,13.8,22.8,30.7,9.3,True
2001_Orlando Magic,2001,Orlando Magic,27.4,198.96666666666667,99.4273664,97.5,96.5,1.0,43.0,22.0,8.2,5.9,14.7,25.3,29.9,13.1,True
2001_Philadelphia 76ers,2001,Philadelphia 76ers,27.4375,201.13625,99.960337,94.7,90.4,4.299999999999997,44.6,20.5,8.3,5.0,14.3,20.5,31.3,13.3,True
2001_Phoenix Suns,2001,Phoenix Suns,29.846153846153847,201.24615384615385,102.19776676923077,94.0,91.8,2.200000000000003,42.7,23.1,9.5,5.3,14.6,22.8,30.8,11.9,True
2001_Portland Trail Blazers,2001,Portland Trail Blazers,31.5,200.9775,100.38557949999999,95.4,91.2,4.200000000000003,41.8,23.7,8.1,5.1,14.8,21.3,30.2,11.6,True
2001_Sacramento Kings,2001,Sacramento Kings,28.071428571428573,200.66,101.31301314285714,101.7,95.9,5.799999999999997,45.3,22.1,9.5,5.3,14.5,19.9,32.9,12.3,True
2001_San Antonio Spurs,2001,San Antonio Spurs,30.133333333333333,199.64399999999998,99.336648,96.2,88.4,7.799999999999997,44.0,21.4,6.8,6.9,13.4,19.2,33.1,11.0,True
2001_Seattle SuperSonics,2001,Seattle SuperSonics,28.285714285714285,201.56714285714287,100.50302742857143,97.3,97.3,0.0,41.7,21.9,8.0,5.0,14.6,21.1,29.5,12.2,False
2001_Toronto Raptors,2001,Toronto Raptors,30.0,200.15200000000002,98.55042186666667,97.6,95.4,2.1999999999999886,43.7,24.2,7.4,6.3,12.7,21.3,30.3,13.4,True
2001_Utah Jazz,2001,Utah Jazz,30.5,200.8414285714286,101.05381771428571,97.1,92.4,4.699999999999989,40.6,25.6,7.9,5.6,15.0,25.8,29.1,11.6,True
